symbol,as_of
ADANIENT.NS,2026-08-27
ADANIGREEN.NS,2026-08-27
ADANIPORTS.NS,2026-08-27
AMBUJACEM.NS,2026-08-27
APOLLOHOSP.NS,2026-08-27
ASIANPAINT.NS,2026-08-27
ASTRAL.NS,2026-08-27
AXISBANK.NS,2026-08-27
BAJAJFINSV.NS,2026-08-27
BAJFINANCE.NS,2026-08-27
BALRAMCHIN.NS,2026-08-27
BANKBARODA.NS,2026-08-27
BEL.NS,2026-08-27
BERGEPAINT.NS,2026-08-27
BHARTIARTL.NS,2026-08-27
BOSCHLTD.NS,2026-08-27
BPCL.NS,2026-08-27
BRITANNIA.NS,2026-08-27
CANBK.NS,2026-08-27
CIPLA.NS,2026-08-27
COALINDIA.NS,2026-08-27
COLPAL.NS,2026-08-27
CUMMINSIND.NS,2026-08-27
DEEPAKNTR.NS,2026-08-27
DIVISLAB.NS,2026-08-27
DLF.NS,2026-08-27
DMART.NS,2026-08-27
DRREDDY.NS,2026-08-27
EICHERMOT.NS,2026-08-27
ESCORTS.NS,2026-08-27
ETERNAL.NS,2026-08-27
EXIDEIND.NS,2026-08-27
FEDERALBNK.NS,2026-08-27
GHCL.NS,2026-08-27
GICRE.NS,2026-08-27
GODREJCP.NS,2026-08-27
GODREJPROP.NS,2026-08-27
GRASIM.NS,2026-08-27
HAVELLS.NS,2026-08-27
HCLTECH.NS,2026-08-27
HDFCBANK.NS,2026-08-27
HDFCLIFE.NS,2026-08-27
HEROMOTOCO.NS,2026-08-27
HINDALCO.NS,2026-08-27
HINDUNILVR.NS,2026-08-27
ICICIBANK.NS,2026-08-27
ICICIGI.NS,2026-08-27
IDFCFIRSTB.NS,2026-08-27
INDUSINDBK.NS,2026-08-27
INFY.NS,2026-08-27
IOC.NS,2026-08-27
IRCTC.NS,2026-08-27
ITC.NS,2026-08-27
JBCHEPHARM.NS,2026-08-27
JSWSTEEL.NS,2026-08-27
KOTAKBANK.NS,2026-08-27
KPRMILL.NS,2026-08-27
LICHSGFIN.NS,2026-08-27
LT.NS,2026-08-27
LTTS.NS,2026-08-27
M&M.NS,2026-08-27
M&MFIN.NS,2026-08-27
MARUTI.NS,2026-08-27
MPHASIS.NS,2026-08-27
MUTHOOTFIN.NS,2026-08-27
NESTLEIND.NS,2026-08-27
NMDC.NS,2026-08-27
NTPC.NS,2026-08-27
NYKAA.NS,2026-08-27
OBEROIRLTY.NS,2026-08-27
PAGEIND.NS,2026-08-27
PAYTM.NS,2026-08-27
PERSISTENT.NS,2026-08-27
PHOENIXLTD.NS,2026-08-27
PIDILITIND.NS,2026-08-27
PNB.NS,2026-08-27
POLICYBZR.NS,2026-08-27
POWERGRID.NS,2026-08-27
PRESTIGE.NS,2026-08-27
RAJESHEXPO.NS,2026-08-27
RELIANCE.NS,2026-08-27
SBILIFE.NS,2026-08-27
SBIN.NS,2026-08-27
SHREECEM.NS,2026-08-27
SIEMENS.NS,2026-08-27
SRF.NS,2026-08-27
SUNPHARMA.NS,2026-08-27
TATACONSUM.NS,2026-08-27
TATAELXSI.NS,2026-08-27
TATAPOWER.NS,2026-08-27
TATASTEEL.NS,2026-08-27
TCS.NS,2026-08-27
TECHM.NS,2026-08-27
TITAN.NS,2026-08-27
TMPV.NS,2026-08-27
TRENT.NS,2026-08-27
ULTRACEMCO.NS,2026-08-27
UNIONBANK.NS,2026-08-27
VEDL.NS,2026-08-27
WIPRO.NS,2026-08-27
